ID,CFA,BL_L,BL_R,3hrs_L,3hrs_R,24hrs_L,24hrs_R,3D_L,3D_R,7D_L,7D_R
132,Naive,1.027361379,1.371197008,0.889269082,0.866566648,0.960812488,0.882211444,0.703904824,0.785028918,0.887512643,1.045113343
133,Naive,0.913807401,1.039201174,1.118873297,0.686213838,0.869329773,0.96175711,0.882513648,0.948918663,0.972625315,1.088828378
134,Naive,1.149884817,0.935834419,0.987285121,0.821847396,1.027361379,0.905203629,0.667544728,0.918873744,1.075158263,1.051899698
135,Naive,1.266425534,1.193937506,0.948586012,0.864730763,0.913044808,1.058783458,0.853566092,0.96175711,1.088828378,1.268326405
136,CFA,1.193599851,1.045113343,1.2291592,0.822581714,0.828694729,1.023645217,0.948918663,0.882513648,1.118873297,1.193599851
137,CFA,1.296470454,1.045113343,0.979650351,0.743090174,0.99180203,0.980637359,0.918873744,0.94061586,1.016340349,1.193937506
138,CFA,0.990857408,0.966787026,0.803211788,1.005546789,1.149884817,0.907694385,0.843814539,0.945841031,0.99180203,0.99180203
139,CFA,0.86378614,0.889269082,0.725399188,0.80415641,0.817888983,0.864730763,1.058783458,0.882999888,1.075158263,1.016340349
152,Naive,1.108824834,0.948918663,0.73453275,0.862841518,0.880236762,0.868843533,0.706730078,0.772045744,1.019216904,0.7854873
153,Naive,1.124387726,0.782265792,0.853566092,0.785973541,0.96175711,0.864730763,1.019216904,0.665267843,0.887512643,1.193599851
154,Naive,0.921245934,1.088828378,0.722636062,0.99180203,0.990857408,1.051899698,0.7854873,0.776367708,1.016340349,1.088828378
155,Naive,0.96175711,0.842947094,0.821847396,0.948117916,0.96175711,0.984478012,0.542904243,0.668030969,1.154432646,0.785973541
156,CFA,0.948086995,1.091066903,0.705654461,0.846385715,0.821847396,1.118873297,0.743446233,0.821847396,1.108824834,1.045113343
157,CFA,1.163554932,0.986295429,0.783210415,0.922190557,0.950592439,0.986295429,0.743090174,0.774322629,0.950592439,1.045113343
158,CFA,0.946728876,0.739037952,0.889269082,0.846385715,0.804398844,0.986295429,0.785973541,0.882513648,1.058783458,0.889269082
159,CFA,1.045786682,1.051899698,0.821847396,0.7854873,0.804398844,0.980182414,0.921245934,0.740327048,1.193599851,1.12651582
